Time,THCP,THCP01,THCP02,THCP03,THCP04,THCP05,THCP06,THCP07,THCP08,THCP09,THCP10,THCP11,THCP12,THCP13,THCP14,THCP15,THCP16,THCP17,GAS,GAS01,GAS02,GAS03,GAS04,GAS05,GAS06,GAS07,GAS08,GAS09,GAS10,GAS11,GAS12,GAS13,GAS14,GAS15,GAS16,GAS17
0,19.999996,19.999997,19.999997,19.999997,19.999997,19.999997,19.999996,19.999997,19.999997,19.999997,19.999997,19.999997,19.999996,19.999997,19.999997,19.999997,19.999997,19.999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42944718,19.999993,19.999995,19.999996,19.99999,19.999993,19.999994,19.999988,19.999994,19.999995,19.999982,19.99999,19.999992,19.99996,19.99999,19.999993,19.999968,19.999986,19.99999,-7.543E-06,-3.30096E-06,-2.32276E-06,-1.65536E-05,-9.3755E-06,-6.62184E-06,-2.18267E-05,-6.72687E-06,-4.19343E-06,-3.42879E-05,-1.54166E-05,-1.07635E-05,-8.72695E-05,-1.57069E-05,-7.91438E-06,-6.87667E-05,-2.55432E-05,-1.64598E-05
0.64417078,19.99999,19.999992,19.999995,19.99998,19.999987,19.999992,19.999977,19.999991,19.999993,19.999962,19.999982,19.999988,19.999916,19.999982,19.99999,19.999927,19.999974,19.999983,-8.60896E-06,-5.71743E-06,-3.82953E-06,-2.8069E-05,-1.61615E-05,-8.24165E-06,-2.71652E-05,-1.13255E-05,-6.0548E-06,-5.83297E-05,-2.30793E-05,-1.19795E-05,-0.00011888,-2.21925E-05,-9.4506E-06,-0.0001138,-3.302E-05,-1.73539E-05
1.073618,19.999987,19.999989,19.999995,19.99997,19.999981,19.99999,19.999967,19.999989,19.999991,19.999938,19.999972,19.999984,19.999869,19.999974,19.999986,19.999881,19.999961,19.999975,-8.60896E-06,-5.71743E-06,-3.82953E-06,-2.8069E-05,-1.61615E-05,-8.24165E-06,-2.71652E-05,-1.13255E-05,-6.0548E-06,-5.83297E-05,-2.30793E-05,-1.19795E-05,-0.00011888,-2.21925E-05,-9.4506E-06,-0.0001138,-3.302E-05,-1.73539E-05
1.2883416,19.999983,19.999985,19.999996,19.999955,19.999975,19.999988,19.999954,19.999988,19.99999,19.999904,19.999962,19.999979,19.999813,19.999966,19.999981,19.999816,19.999948,19.999968,-1.06337E-05,-3.94138E-06,-3.45943E-06,-4.50804E-05,-1.67497E-05,-8.4494E-06,-3.76011E-05,-8.92241E-06,-5.79059E-06,-9.52796E-05,-2.35319E-05,-1.22378E-05,-0.000166844,-1.93067E-05,-9.27338E-06,-0.000184817,-3.35249E-05,-1.7722E-05
1.5030651,19.999981,19.999982,19.999996,19.999944,19.999971,19.999987,19.999945,19.999988,19.999989,19.999878,19.999955,19.999977,19.999778,19.999962,19.999979,19.999767,19.99994,19.999963,-1.06337E-05,-3.94138E-06,-3.45943E-06,-4.50804E-05,-1.67497E-05,-8.4494E-06,-3.76011E-05,-8.92241E-06,-5.79059E-06,-9.52796E-05,-2.35319E-05,-1.22378E-05,-0.000166844,-1.93067E-05,-9.27338E-06,-0.000184817,-3.35249E-05,-1.7722E-05
1.9325123,19.999978,19.999978,19.999998,19.999928,19.999965,19.999986,19.999932,19.999989,19.999987,19.99984,19.999945,19.999973,19.999781,19.999958,19.999976,19.999693,19.999927,19.999955,-7.77991E-06,-3.98829E-06,-3.50249E-06,-4.51849E-05,-1.68863E-05,-8.54096E-06,-3.48774E-05,-8.65717E-06,-5.42457E-06,-9.59003E-05,-2.36022E-05,-1.21151E-05,-0.000162316,-1.06169E-05,-2.49387E-06,-0.000189658,-3.33493E-05,-1.77533E-05
2.1472359,19.999977,19.999973,20,19.999913,19.999959,19.999986,19.999922,19.999991,19.999987,19.999803,19.999935,19.999969,19.99997,19.999959,19.999978,19.999618,19.999915,19.999947,-4.92614E-06,-4.03519E-06,-3.54556E-06,-4.52894E-05,-1.70229E-05,-8.63253E-06,-3.21537E-05,-8.39193E-06,-5.05855E-06,-9.6521E-05,-2.36726E-05,-1.19924E-05,-0.000157789,-1.92701E-06,4.28563E-06,-0.0001945,-3.31738E-05,-1.77846E-05
2.5766831,19.999977,19.999967,20.000002,19.999898,19.999953,19.999986,19.999915,19.999995,19.999988,19.999766,19.999925,19.999966,20.001964,19.999967,19.999983,19.999546,19.999903,19.999939,-1.19323E-06,-3.22665E-06,-2.22627E-06,-4.52157E-05,-1.67876E-05,-8.30978E-06,-2.10942E-05,-2.88359E-06,6.69109E-07,-9.60486E-05,-2.3726E-05,-1.28873E-05,-0.000108544,1.84986E-05,1.65054E-05,-0.000192004,-3.47175E-05,-2.10629E-05
2.7914067,19.999979,19.999962,20.000006,19.999884,19.999948,19.999986,19.999915,20.000003,19.999992,19.99973,19.999915,19.999962,20.009278,19.999987,19.999994,19.999476,19.99989,19.999928,2.53967E-06,-2.41811E-06,-9.06982E-07,-4.51419E-05,-1.65523E-05,-7.98704E-06,-1.00348E-05,2.62474E-06,6.39677E-06,-9.55762E-05,-2.37794E-05,-1.37821E-05,-5.93E-05,3.89242E-05,2.87251E-05,-0.000189508,-3.62612E-05,-2.43412E-05
3.0061303,19.999981,19.999958,20.000009,19.999875,19.999944,19.999987,19.999915,20.000009,19.999995,19.999706,19.999908,19.99996,20.019957,20.000001,20.000002,19.999431,19.999882,19.999921,2.53967E-06,-2.41811E-06,-9.06982E-07,-4.51419E-05,-1.65523E-05,-7.98704E-06,-1.00348E-05,2.62474E-06,6.39677E-06,-9.55762E-05,-2.37794E-05,-1.37821E-05,-5.93E-05,3.89242E-05,2.87251E-05,-0.000189508,-3.62612E-05,-2.43412E-05
3.4355775,19.999986,19.999957,20.000018,19.999863,19.99994,19.999989,19.999929,20.000031,20.00001,19.999674,19.999898,19.999957,20.046551,20.000047,20.000026,19.999365,19.999864,19.99991,9.14779E-06,9.12048E-06,1.21104E-05,-4.25102E-05,-1.45724E-05,-5.84605E-06,2.25213E-05,3.37168E-05,3.07982E-05,-9.03528E-05,-2.50557E-05,-1.30228E-05,0.000100867,9.97143E-05,5.97479E-05,-0.000187116,-4.93259E-05,-2.61154E-05
3.6503011,19.999991,19.999956,20.000028,19.999852,19.999937,19.999992,19.999944,20.000054,20.000024,19.999642,19.999888,19.999954,20.082167,20.000095,20.00005,19.9993,19.999847,19.9999,9.14779E-06,9.12048E-06,1.21104E-05,-4.25102E-05,-1.45724E-05,-5.84605E-06,2.25213E-05,3.37168E-05,3.07982E-05,-9.03528E-05,-2.50557E-05,-1.30228E-05,0.000100867,9.97143E-05,5.97479E-05,-0.000187116,-4.93259E-05,-2.61154E-05
4.0797482,20.000046,20.000105,20.000134,19.999966,20.000019,20.000025,20.000185,20.000361,20.000155,19.999844,19.999963,19.999969,20.12457,20.000539,20.000165,19.999615,19.999901,19.999897,0.000129159,0.000371226,0.000241187,0.000256177,0.000191041,6.6657E-05,0.000565527,0.00071506,0.00030873,0.000467113,0.000180832,2.91708E-05,0.002874491,0.001046385,0.000279844,0.000719106,0.000121811,-6.26225E-06
